country,country_code,region,income_group,year,life_expectancy
Afghanistan,AFG,South Asia,Low income,2000,55.12587805
Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,45.20478049
Albania,ALB,Europe & Central Asia,Upper middle income,2000,74.27153659
United Arab Emirates,ARE,Middle East & North Africa,High income,2000,74.45153659
Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,73.75580488
Armenia,ARM,Europe & Central Asia,Lower middle income,2000,71.27658537
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,73.39729268
Australia,AUS,East Asia & Pacific,High income,2000,79.23414634
Austria,AUT,Europe & Central Asia,High income,2000,78.12682927
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,66.7582439
Burundi,BDI,Sub-Saharan Africa,Low income,2000,51.48548781
Belgium,BEL,Europe & Central Asia,High income,2000,77.72195122
Benin,BEN,Sub-Saharan Africa,Low income,2000,55.1882439
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,50.34592683
Bangladesh,BGD,South Asia,Lower middle income,2000,65.34797561
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2000,71.66341463
Bahrain,BHR,Middle East & North Africa,High income,2000,74.59948781
"Bahamas, The",BHS,Latin America & Caribbean,High income,2000,72.25429268
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,74.26073171
Belarus,BLR,Europe & Central Asia,Upper middle income,2000,68.91219512
Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,68.41887805
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2000,60.69004878
Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,70.04197561
Barbados,BRB,Latin America & Caribbean,High income,2000,73.2195122
Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,75.28880488
Bhutan,BTN,South Asia,Lower middle income,2000,60.65039024
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,48.69363415
Central African Republic,CAF,Sub-Saharan Africa,Low income,2000,44.59729268
Canada,CAN,North America,High income,2000,79.23658537
Switzerland,CHE,Europe & Central Asia,High income,2000,79.68048781
Chile,CHL,Latin America & Caribbean,High income,2000,76.82082927
China,CHN,East Asia & Pacific,Upper middle income,2000,71.73046342
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2000,51.93587805
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2000,50.00287805
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2000,50.58987805
Colombia,COL,Latin America & Caribbean,Upper middle income,2000,70.98870732
Comoros,COM,Sub-Saharan Africa,Low income,2000,59.43890244
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2000,69.72439024
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2000,77.42268293
Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,76.64480488
Cyprus,CYP,Europe & Central Asia,High income,2000,77.97168293
Czech Republic,CZE,Europe & Central Asia,High income,2000,74.96829268
Germany,DEU,Europe & Central Asia,High income,2000,77.92682927
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,57.01034146
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,
Denmark,DNK,Europe & Central Asia,High income,2000,76.59268293
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,70.63373171
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,70.18390244
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,72.94417073
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,68.5907561
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,56.02502439
Spain,ESP,Europe & Central Asia,High income,2000,78.96585366
Estonia,EST,Europe & Central Asia,High income,2000,70.41707317
Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,51.93034146
Finland,FIN,Europe & Central Asia,High income,2000,77.46585366
Fiji,FJI,East Asia & Pacific,Upper middle income,2000,67.60585366
France,FRA,Europe & Central Asia,High income,2000,79.05609756
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2000,67.2752439
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,59.33948781
United Kingdom,GBR,Europe & Central Asia,High income,2000,77.74146342
Georgia,GEO,Europe & Central Asia,Lower middle income,2000,71.61582927
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,56.98709756
Guinea,GIN,Sub-Saharan Africa,Low income,2000,51.24290244
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2000,55.57607317
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2000,51.44543902
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2000,52.10863415
Greece,GRC,Europe & Central Asia,High income,2000,77.88780488
Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,70.25160976
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2000,67.74270732
Guyana,GUY,Latin America & Caribbean,Upper middle income,2000,64.97314634
Honduras,HND,Latin America & Caribbean,Lower middle income,2000,70.49419512
Croatia,HRV,Europe & Central Asia,Upper middle income,2000,72.80780488
Haiti,HTI,Latin America & Caribbean,Low income,2000,57.67604878
Hungary,HUN,Europe & Central Asia,High income,2000,71.24634146
Indonesia,IDN,East Asia & Pacific,Lower middle income,2000,66.24687805
India,IND,South Asia,Lower middle income,2000,62.63063415
Ireland,IRL,Europe & Central Asia,High income,2000,76.53658537
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2000,70.13719512
Iraq,IRQ,Middle East & North Africa,Upper middle income,2000,69.17880488
Iceland,ISL,Europe & Central Asia,High income,2000,79.65365854
Israel,ISR,Middle East & North Africa,High income,2000,78.95365854
Italy,ITA,Europe & Central Asia,High income,2000,79.77804878
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,72.31317073
Jordan,JOR,Middle East & North Africa,Lower middle income,2000,71.7797561
Japan,JPN,East Asia & Pacific,High income,2000,81.07609756
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,65.51707317
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,50.78517073
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2000,68.55853659
Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,58.35087805
Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,63.95068293
Kuwait,KWT,Middle East & North Africa,High income,2000,73.3137561
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2000,58.8792439
Lebanon,LBN,Middle East & North Africa,Upper middle income,2000,74.43170732
Liberia,LBR,Sub-Saharan Africa,Low income,2000,52.40912195
Libya,LBY,Middle East & North Africa,Upper middle income,2000,70.57253659
Sri Lanka,LKA,South Asia,Lower middle income,2000,71.10639024
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,47.18297561
Lithuania,LTU,Europe & Central Asia,High income,2000,72.0195122
Luxembourg,LUX,Europe & Central Asia,High income,2000,77.87317073
Latvia,LVA,Europe & Central Asia,High income,2000,70.31463415
Morocco,MAR,Middle East & North Africa,Lower middle income,2000,68.49760976
Monaco,MCO,Europe & Central Asia,High income,2000,
Madagascar,MDG,Sub-Saharan Africa,Low income,2000,58.47280488
Maldives,MDV,South Asia,Upper middle income,2000,70.05970732
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,74.29973171
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,65.23902439
Mali,MLI,Sub-Saharan Africa,Low income,2000,48.89643902
Malta,MLT,Middle East & North Africa,High income,2000,78.2
Myanmar,MMR,East Asia & Pacific,Lower middle income,2000,62.078
Montenegro,MNE,Europe & Central Asia,Upper middle income,2000,73.18204878
Mongolia,MNG,East Asia & Pacific,Lower middle income,2000,62.91387805
Mozambique,MOZ,Sub-Saharan Africa,Low income,2000,48.68660976
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,60.01739024
Malawi,MWI,Sub-Saharan Africa,Low income,2000,44.07992683
Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,72.86778049
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2000,55.12070732
Niger,NER,Sub-Saharan Africa,Low income,2000,50.69795122
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,46.624
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,69.65807317
Netherlands,NLD,Europe & Central Asia,High income,2000,77.98780488
Norway,NOR,Europe & Central Asia,High income,2000,78.63414634
Nepal,NPL,South Asia,Low income,2000,62.32663415
Nauru,NRU,East Asia & Pacific,Upper middle income,2000,
New Zealand,NZL,East Asia & Pacific,High income,2000,78.63658537
Oman,OMN,Middle East & North Africa,High income,2000,72.35658537
Pakistan,PAK,South Asia,Lower middle income,2000,62.77317073
Panama,PAN,Latin America & Caribbean,Upper middle income,2000,75.10197561
Peru,PER,Latin America & Caribbean,Upper middle income,2000,70.50743902
Philippines,PHL,East Asia & Pacific,Lower middle income,2000,66.68212195
Palau,PLW,East Asia & Pacific,High income,2000,70.49365854
